makeId,modelId,makeName,usage,year,IDV_Category,Price,modelName
20053,27361,Chevrolet,New,2018,II,29317.8235,MalibuHybrid
20077,30033647,Nissan,New,2019,II,24464.4186,RogueHybrid
20030,35966,Mitsubishi,New,2018,II,24563.75,OutlanderSport
20077,36293534,Nissan,New,2019,II,24835.0281,RogueSport
20030,21466,Mitsubishi,New,2019,II,15291.95,Mirage
20077,36363005,Nissan,New,2019,II,20580.2111,Kicks
20060,58488,FIAT,New,2017,II,22812.0,500X
20089,30003099,Volkswagen,New,2018,II,28635.0,GolfSportWagen
20064,42323,Hyundai,New,2019,II,22842.2895,Veloster
20064,39583,Hyundai,New,2019,II,26329.7541,SonataHybrid
20088,35084961,Toyota,New,2018,II,18172.6667,YarisiA
20068,32883,Kia,New,2016,II,23820.0,ForteKoup
20088,20800,Toyota,New,2019,II,27099.1833,Camry
20068,40463,Kia,New,2019,II,29394.3333,OptimaHybrid
20017,20606,Honda,New,2019,II,27356.25,Accord
20088,21751,Toyota,New,2019,II,28115.2123,Prius
20053,21413,Chevrolet,New,2017,II,29988.0,Malibu
20088,20861,Toyota,New,2019,II,23079.8889,Corolla
20077,52109,Nissan,New,2018,II,15142.0,VersaNote
20088,34172170,Toyota,New,2018,II,28834.6667,86
20077,21931,Nissan,New,2018,II,20045.0,Sentra
20041,21295,Subaru,New,2019,II,24538.6853,Impreza
20053,47275,Chevrolet,New,2020,II,16451.3333,Spark
20015,21175,Ford,New,2019,II,22644.1461,Fusion
20017,30000212,Honda,New,2019,II,25251.65,HRV
20060,20483,FIAT,New,2018,II,17675.3,500
20012,21286,Dodge,New,2019,II,24046.1429,Journey
20089,43344,Volkswagen,New,2019,II,26411.48,Beetle
20077,52109,Nissan,New,2019,II,16478.9286,VersaNote
20053,57328,Chevrolet,New,2020,II,22089.2222,Trax
20077,52670,Nissan,New,2019,II,23517.7481,NV200
20088,47567,Toyota,New,2019,II,22931.4286,Priusc
20064,36744667,Hyundai,New,2020,II,23220.2895,VelosterN
20228,36713267,smart,New,2019,II,27021.3636,EQForTwo
20089,21758,Volkswagen,New,2019,II,23888.6111,Passat
